age,income,employment_status,credit_score,loan_amount,loan_tenure,debt_ratio,previous_defaults,existing_loans,defaulted,risk_category
46.24427112133091,3000.0,Unemployed,647.9192083397614,1078.9108755012965,36,0.036,0,0,0,Very High
31.30789067100797,10085.31905255112,Student,573.7280102821526,3698.4012397499546,60,0.1617,0,2,1,Very High
37.07540747302271,91253.78182869262,Salaried,655.8787103168987,30880.83839586151,72,0.0963,0,1,0,Low
38.950253531535544,72827.09448466734,Self-Employed,651.6056874419994,48068.96638101044,48,0.116,0,2,0,High
24.426517305107538,25110.43349673877,Student,568.460112709149,14454.518515543434,60,0.0576,0,0,1,Very High
63.59292712942134,72345.50598996998,Salaried,631.7118110435546,30865.77088739912,48,0.1677,1,2,1,Very High
38.924044801898134,120753.40111718139,Salaried,697.0813396596809,41511.28830998018,60,0.1094,1,3,0,Low
42.653940004694,38033.88131314347,Self-Employed,746.7382282288395,21168.165948163733,36,0.0557,1,0,0,High
53.47170356145477,17115.67263191228,Unemployed,608.054939572871,11612.923851585176,12,0.2678,1,2,1,Very High
49.15977565398053,59749.079147359516,Salaried,671.7271218361208,99250.69497492345,24,0.1661,0,0,1,Very High
49.20570866132854,69281.75615702625,Self-Employed,663.0541630589577,45901.28582733919,48,0.1663,3,1,1,Very High
31.86831506818714,44785.980902179384,Self-Employed,587.6198011100735,22245.567206455213,84,0.0747,1,1,1,Very High
22.858715029604483,21362.37668649874,Student,595.0592094179876,8451.359616946258,84,0.0396,1,0,1,Very High
51.50824082273378,32957.43916950333,Self-Employed,662.8928819850918,10024.844403949355,48,0.0554,0,1,0,Medium
43.405445327774885,27972.471899443466,Self-Employed,708.1299634366585,20736.504703907805,60,0.1991,0,2,1,Very High
35.244673564001204,10010.225649333268,Unemployed,573.717752884332,2899.4882065621555,36,0.054,1,1,1,Very High
60.45875212455434,61183.15580136157,Salaried,641.7464627680914,52626.36336133138,24,0.086,0,0,1,Very High
38.60720482105833,53417.08704295515,Self-Employed,700.6366357346251,20844.59525375513,36,0.039,1,0,1,High
36.32890470595026,78181.78091539364,Salaried,661.010255880591,48746.60304341239,48,0.1249,2,1,1,High
31.95391389162182,78738.62900243154,Self-Employed,646.8631597339672,50742.42611835627,48,0.0894,0,1,1,Very High
27.39915215648952,20088.143829420864,Student,602.456724149413,19164.59877978103,84,0.2954,0,2,1,Very High
47.12885340591945,10038.98219678062,Self-Employed,607.365254659363,4400.2798928141565,48,0.1438,2,4,1,Very High
25.807227524550033,27984.1931297998,Student,618.2686035275998,15040.369267245958,84,0.1537,1,1,1,Very High
46.4616453165381,30674.656370319783,Unemployed,665.1244425451154,9346.596004485104,12,0.093,0,1,1,Very High
24.397804893136563,25359.910764411714,Student,643.2324911484069,10411.056763738698,72,0.0911,1,2,1,Very High
51.70334776854231,67933.37912832898,Self-Employed,694.179865271015,73230.61021141623,60,0.2953,0,3,1,Very High
29.14445493387582,16149.388688415547,Unemployed,685.8049040387331,19669.54064883698,24,0.1468,1,1,1,Very High
45.57837087005791,4006.5969559550704,Unemployed,590.1725848208131,1599.8911965120499,48,0.0399,1,0,1,Very High
44.39860580759435,38248.68482705502,Self-Employed,627.34451311725,24072.596420122478,48,0.1254,2,1,1,Very High
38.38352146895104,66055.10444131674,Self-Employed,677.0461179665131,80358.00297635037,48,0.1467,1,1,1,Very High
40.665163221273374,68156.16813175258,Self-Employed,660.773788387785,48915.92308784949,60,0.0718,0,0,1,High
26.64201459807795,5000.0,Student,646.0590613011641,1000.0,36,0.22,0,2,1,Very High
18.85967762349716,25425.92646724782,Student,619.2939910855082,12405.956876256194,60,0.0488,2,0,1,Very High
49.979558008918815,18783.509180694542,Unemployed,613.8171920396385,16752.28406899765,60,0.0892,0,0,1,Very High
37.54367772768506,68182.28546438161,Salaried,711.5445078225648,20481.377587853378,24,0.0925,0,1,0,Low
45.323770409758524,87936.26063271519,Salaried,637.5903738812676,48413.284460538474,84,0.0801,0,1,1,Very High
35.97538976074404,69066.58326807243,Salaried,628.2337819971829,59423.21371587327,48,0.086,1,0,1,Very High
40.84515511481192,29401.507227877923,Self-Employed,654.2774841802933,6270.8926826467905,60,0.0463,1,1,1,Very High
51.0252650941031,25412.434045457467,Unemployed,574.1945385802592,5869.029138899888,48,0.0231,1,0,1,Very High
49.172733732563586,10620.734770068146,Unemployed,704.7470878402288,6471.624560303531,60,0.0609,0,0,1,Very High
26.11917275290538,30052.4720986487,Student,531.9767797514498,5962.786206416613,60,0.0823,0,1,1,Very High
